4001	Yoshi	ヨッシー
4002	Egg	タマゴ
4003	Target	標的
4006		最後のフルーツを食べた時
4008	Coin's effect	コイン効果
4009	Effect	効果
400a	Star effect	☆効果
400d		画面切り替え中
400e	Flush effect	光効果
400f	Bonus heart fluit	ハートフルーツの出る場所
4010	Helth flower	(･o_･)
4011	Petal	花びら
4012	Cloud of dust	土埃
4013		画面のフルーツ枠
4014		オプション
4018	Fireworks	花火
4019	Parachute	パラシュート
401b	Glitter effect	キラキラ効果
401e	Egg afterimage	タマゴの残像
401f	White Shy Guy	しろヘイホー
4020		ポーズ処理
4030	Apple	リンゴ
4031	Banana	バナナ
4032	Watermelon	スイカ
4033	Grape	ブドウ
4034	Melon	メロン
4035	Heart fluit	ハートフルーツ
4037	Umbrella	傘
4038	Goonie	あほーどり
403a	Shy Guy (03a)	ヘイホー(03a)
403b	Spike (horizontal moving)	とんがりくん(左右に移動)
4041	Pogo Guy	ホッピングヘイホー
4043	Shy Guy (043)	ヘイホー(043)
4044	Shy Guy (044)	ヘイホー(044)
4045	Shy Guy (045)	ヘイホー(045)
404d	Bone platform (left)	骨の足場／
404f	Bone platform (right)	骨の足場＼
4050	Sinking bone platform (left)	沈む骨の足場／
4051	Sinking bone platform (right)	沈む骨の足場＼
406b	Huffin' Puffin	かるがーも
406c	Thrown Huffin' Puffin	投げたかるがーも
406e	Propeller lift	プロペラリフト
406f	Coin	コイン
4070	Movable coin	動くコイン
4074	Heart Coin	コインちゃん
407b	Ball	乗れる木のボール
407d	Seesaw (long)	シーソー(長)
407f	Seesaw (short)	シーソー(短)
4083	Branch point of the line rail	レールの分岐点
4085	'?' block (Heart Coin)	？ブロック(コインちゃん)
4086	Egg block	タマゴブロック
4088	Message	メッセージ
409e	Bumpty	ターくん
40a0	Puffer's ball	パオの光球
40a1	Puffer	パオ
40a3	Don Bongo	ドンババ
40af	Lakitu (water)	水を落とすジュゲム
40b0	Lakitu (spike ball)	トゲ球を落とすジュゲム
40b1	Lakitu's cloud	ジュゲムの雲
40b3	Lakitu's Water	ジュゲムが落とす水
40b4	Spike ball	トゲ球
40b5	Fuzzy Wiggler	ケムちゃん
40b8	Surprise ball	！ブロック
40c5	Special heart	スペシャルハート
40c6	Lava effect	溶岩の泡効果
40d8	Line guided cloud	線に沿って動く雲
40e9	Wind	風
40ea	Bubble effect	泡効果
40eb		ステージ選択画面
40ec		ステージ選択画面で選択したエフェクト
40f9	Ball's invisible wall	ボールの動作範囲
4103		不明 (2-2-1にある)
410c		ラッキーフルーツ選択画面
4115	Melon box (fall)	落ちてくるメロン缶
4116		メニュー
4127	Balloon Bully	リフトさん
4129	Three-headed Bone Dragon	3つの頭のホネホネりゅう
412c	Fire	ホネホネりゅうの吐く炎
412d	Fire afterimage	ホネホネりゅうの吐く炎の残像
412e	Bone Dragon	ホネホネりゅう
4131	Bone bridge 1	骨の橋 1
4132	Bone bridge 2	骨の橋 2
4133	Bone bridge 3	骨の橋 3
4134	Bone bridge 4	骨の橋 4
413a	Lava Bubble	バブル
413c	Spark	火花
413e	Pirate Guy's ship	海賊船
4144	Bob-omb	ボム兵
4147	Start flag (time attack)	スタートの旗(タイムアタック)
414a	Goal flag	ゴールの旗
414f	Buried melon	埋まったメロン
4152	Horizontal moving platform 1	リフト(左右) 1
4153	Horizontal moving platform 2	リフト(左右) 2
4159	Ascending platform	リフト(上昇)
415a	Descending platform	リフト(下降)
415d	Horizontal moving platform (red)	赤いリフト(左右)
4174	Platform generator (up)	リフト生成器(上向き)
4177	Platform generator (down)	リフト生成器(下向き)
417a	Platform remover (down)	リフト吸引器(下向き)
417b	Platform remover (up)	リフト吸引器(上向き)
417f	Popping Shy Guy (back)	飛び出してくるヘイホー(背面)
4181	Popping Shy Guy (front)	飛び出してくるヘイホー(前面)
